plb,risk.type,county,qid,aggregation.level,risk.value,,,,
0.1,ppv,Franklin,3,tr,0.083,,,,
1.6,ppv,Franklin,1,blk,0.039,,,,
1.6,ppv,Franklin,1,bg,0.118,,,,
1.6,ppv,Franklin,1,tr,0.108,,,,
1.6,ppv,Franklin,2,blk,0.050,,,,
1.6,ppv,Franklin,2,bg,0.110,,,,
1.6,ppv,Franklin,2,tr,0.135,,,,
1.6,ppv,Franklin,3,blk,0.059,,,,
1.6,ppv,Franklin,3,bg,0.110,,,,
1.6,ppv,Franklin,3,tr,0.250,,,,
10,ppv,Franklin,1,blk,0.041,,,,
10,ppv,Franklin,1,bg,0.156,,,,
10,ppv,Franklin,1,tr,0.136,,,,
10,ppv,Franklin,2,blk,0.049,,,,
10,ppv,Franklin,2,bg,0.172,,,,
10,ppv,Franklin,2,tr,0.172,,,,
10,ppv,Franklin,3,blk,0.067,,,,
10,ppv,Franklin,3,bg,0.231,,,,
10,ppv,Franklin,3,tr,0.283,,,,
100,ppv,Franklin,1,blk,0.048,,,,
100,ppv,Franklin,1,bg,0.278,,,,
100,ppv,Franklin,1,tr,0.254,,,,
100,ppv,Franklin,2,blk,0.054,,,,
100,ppv,Franklin,2,bg,0.287,,,,
100,ppv,Franklin,2,tr,0.280,,,,
100,ppv,Franklin,3,blk,0.071,,,,
100,ppv,Franklin,3,bg,0.367,,,,
100,ppv,Franklin,3,tr,0.339,,,,
0.01,ppv,Guernsey,1,blk,0.000,,,,
0.01,ppv,Guernsey,1,bg,0.143,,,,
0.01,ppv,Guernsey,1,tr,0.000,,,,
0.01,ppv,Guernsey,2,blk,0.000,,,,
0.01,ppv,Guernsey,2,bg,0.000,,,,
0.01,ppv,Guernsey,2,tr,0.000,,,,
0.01,ppv,Guernsey,3,blk,0.045,,,,
0.01,ppv,Guernsey,3,bg,0.000,,,,
0.01,ppv,Guernsey,3,tr,0.000,,,,
0.1,ppv,Guernsey,1,blk,0.032,,,,
0.1,ppv,Guernsey,1,bg,0.000,,,,
0.1,ppv,Guernsey,1,tr,0.000,,,,
0.1,ppv,Guernsey,2,blk,0.045,,,,
0.1,ppv,Guernsey,2,bg,0.000,,,,
0.1,ppv,Guernsey,2,tr,0.000,,,,
0.1,ppv,Guernsey,3,blk,0.027,,,,
0.1,ppv,Guernsey,3,bg,0.000,,,,
0.1,ppv,Guernsey,3,tr,0.000,,,,
1.6,ppv,Guernsey,1,blk,0.024,,,,
1.6,ppv,Guernsey,1,bg,0.102,,,,
1.6,ppv,Guernsey,1,tr,0.031,,,,
1.6,ppv,Guernsey,2,blk,0.026,,,,
1.6,ppv,Guernsey,2,bg,0.135,,,,
1.6,ppv,Guernsey,2,tr,0.059,,,,
1.6,ppv,Guernsey,3,blk,0.022,,,,
1.6,ppv,Guernsey,3,bg,0.286,,,,
1.6,ppv,Guernsey,3,tr,0.000,,,,
10,ppv,Guernsey,1,blk,0.039,,,,
10,ppv,Guernsey,1,bg,0.112,,,,
10,ppv,Guernsey,1,tr,0.119,,,,
10,ppv,Guernsey,2,blk,0.037,,,,
10,ppv,Guernsey,2,bg,0.157,,,,
10,ppv,Guernsey,2,tr,0.186,,,,
10,ppv,Guernsey,3,blk,0.017,,,,
10,ppv,Guernsey,3,bg,0.227,,,,
10,ppv,Guernsey,3,tr,0.000,,,,
100,ppv,Guernsey,1,blk,0.030,,,,
100,ppv,Guernsey,1,bg,0.262,,,,
100,ppv,Guernsey,1,tr,0.212,,,,
100,ppv,Guernsey,2,blk,0.036,,,,
100,ppv,Guernsey,2,bg,0.280,,,,
100,ppv,Guernsey,2,tr,0.128,,,,
100,ppv,Guernsey,3,blk,0.027,,,,
100,ppv,Guernsey,3,bg,0.514,,,,
100,ppv,Guernsey,3,tr,0.000,,,,
